time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-08T21:36:25.181Z,-10.1529,161.036,40.52,4.4,mb,,112,1.286,0.69,us,us6000gbyc,2022-02-12T23:07:41.040Z,"102 km WNW of Kirakira, Solomon Islands",earthquake,7.4,8,0.13,17,reviewed,us,us
2021-12-08T21:39:23.987Z,-10.1673,161.0701,33.77,4.2,mb,,112,1.322,0.32,us,us6000gby9,2022-02-12T23:07:41.040Z,"98 km WNW of Kirakira, Solomon Islands",earthquake,7.9,7.5,0.153,12,reviewed,us,us
2021-12-09T03:09:08.938Z,-30.1311,-177.6792,50.52,4.2,mb,,194,0.891,0.47,us,us6000gc7b,2022-02-12T23:07:45.040Z,"Kermadec Islands, New Zealand",earthquake,10.3,14.5,0.167,10,reviewed,us,us
2021-12-09T05:10:49.107Z,-24.0494,-179.728,418.09,4.1,mb,,109,5.437,0.37,us,us6000gc77,2022-02-12T23:07:45.040Z,"south of the Fiji Islands",earthquake,12.9,8.6,0.12,20,reviewed,us,us
2021-12-09T05:22:13.981Z,-18.6124,-177.5714,609.64,4.1,mb,,129,4.248,0.79,us,us6000gc78,2022-02-12T23:07:45.040Z,"Fiji region",earthquake,13.3,16.3,0.104,25,reviewed,us,us
2021-12-09T07:12:22.917Z,-21.6273,-173.9135,10,4.4,mb,,124,7.94,0.78,us,us6000gc7d,2022-02-12T23:07:46.040Z,"112 km ESE of ‘Ohonua, Tonga",earthquake,8,1.9,0.219,10,reviewed,us,us
2021-12-09T17:30:58.672Z,-32.1808,-177.3682,10,4.5,mb,,172,2.948,0.93,us,us6000gc7z,2022-02-12T23:07:47.040Z,"south of the Kermadec Islands",earthquake,10,1.8,0.204,8,reviewed,us,us
2021-12-09T18:03:08.290Z,-25.5842,179.2006,501.46,4.5,mb,,154,4.468,0.69,us,us6000gc81,2022-02-12T23:07:48.040Z,"south of the Fiji Islands",earthquake,14.4,11.3,0.171,10,reviewed,us,us
2021-12-09T18:38:31.933Z,-10.1996,161.1134,80.05,4.3,mb,,112,1.375,1.4,us,us6000gc83,2022-02-12T23:07:48.040Z,"92 km WNW of Kirakira, Solomon Islands",earthquake,11.8,2.6,0.307,5,reviewed,us,us
2021-12-09T22:09:40.212Z,-23.6291,-175.2664,10,5.1,mb,,122,6.093,0.98,us,us6000gc8c,2022-02-12T23:07:48.040Z,"256 km S of ‘Ohonua, Tonga",earthquake,11.7,1.8,0.102,31,reviewed,us,us
2021-12-10T00:18:25.354Z,-11.7457,165.2164,10,4.8,mb,,99,4.155,0.7,us,us6000gb1d,2022-02-24T20:59:30.040Z,"129 km SSW of Lata, Solomon Islands",earthquake,9.6,1.8,0.088,40,reviewed,us,us
2021-12-10T00:56:52.115Z,-18.8192,168.8366,111.76,4.5,mb,,167,3.699,1.07,us,us6000gb1g,2022-02-24T20:59:31.040Z,"92 km NNW of Isangel, Vanuatu",earthquake,8.7,8.6,0.115,22,reviewed,us,us
2021-12-10T13:27:55.945Z,-31.5014,-178.1747,33.46,5.2,mww,,59,2.242,0.47,us,us6000gb6d,2022-02-24T20:59:38.040Z,"Kermadec Islands region",earthquake,8.9,3.7,0.071,19,reviewed,us,us
2021-12-10T16:52:29.311Z,-10.6203,165.5872,35,4.4,mb,,103,5.049,0.59,us,us6000gcfr,2022-02-24T21:01:13.040Z,"25 km WNW of Lata, Solomon Islands",earthquake,11,2,0.162,11,reviewed,us,us
2021-12-11T00:06:59.990Z,-29.7768,-177.1839,10,4.4,mb,,215,0.821,0.56,us,us6000gch4,2022-02-24T21:01:15.040Z,"Kermadec Islands, New Zealand",earthquake,6.1,1.9,0.204,7,reviewed,us,us
2021-12-11T04:23:03.053Z,-15.9452,-171.9114,10,4.3,mb,,75,2.028,0.5,us,us6000gcha,2022-02-24T21:01:17.040Z,"201 km E of Hihifo, Tonga",earthquake,6.9,1.9,0.201,9,reviewed,us,us
2021-12-11T08:41:01.277Z,-19.0568,169.3721,263.47,4.1,mb,,100,3.97,0.73,us,us6000gchg,2022-02-24T21:01:18.040Z,"54 km N of Isangel, Vanuatu",earthquake,10.2,11,0.158,11,reviewed,us,us
2021-12-11T09:08:18.016Z,-11.2788,165.538,10,4.1,mb,,195,4.448,0.16,us,us6000gchh,2022-02-24T21:01:18.040Z,"67 km SSW of Lata, Solomon Islands",earthquake,8.8,2,0.233,6,reviewed,us,us
2021-12-11T13:14:23.666Z,-17.9227,-178.5153,583.53,4.4,mb,,70,3.273,0.98,us,us6000gbex,2022-02-24T20:59:55.040Z,"230 km E of Levuka, Fiji",earthquake,6.5,9.2,0.097,31,reviewed,us,us
2021-12-11T22:46:28.143Z,-31.5756,-177.6957,10,4.3,mb,,185,2.314,1.17,us,us6000gci3,2022-02-24T21:01:23.040Z,"Kermadec Islands region",earthquake,9.8,2,0.266,4,reviewed,us,us
2021-12-12T08:48:36.886Z,-37.8053,179.1126,10,4.2,mb,,222,0.683,0.62,us,us6000gcsa,2022-02-24T21:01:48.040Z,"135 km NE of Gisborne, New Zealand",earthquake,7.1,2,0.215,10,reviewed,us,us
2021-12-12T10:37:06.094Z,-19.5887,-177.641,354.24,4.1,mb,,123,4.475,0.41,us,us6000gbmi,2022-02-24T21:00:14.040Z,"Fiji region",earthquake,13.9,8.8,0.076,49,reviewed,us,us
2021-12-12T12:50:27.878Z,-25.7287,179.9428,495.27,4.5,mb,,94,3.998,0.42,us,us6000gbna,2022-02-24T21:00:15.040Z,"south of the Fiji Islands",earthquake,6.9,11.5,0.124,19,reviewed,us,us
2021-12-12T13:02:23.243Z,-13.4352,167.4218,219.73,4.5,mb,,81,2.011,0.82,us,us6000gcsu,2022-02-24T21:01:51.040Z,"50 km NNW of Sola, Vanuatu",earthquake,10.4,7,0.128,18,reviewed,us,us
2021-12-12T17:28:22.085Z,-23.5806,170.218,10,4.4,mb,,107,2.727,0.79,us,us6000gcsr,2022-02-24T21:01:51.040Z,"southeast of the Loyalty Islands",earthquake,8.3,1.9,0.169,10,reviewed,us,us
2021-12-13T00:36:46.690Z,-22.1355,-179.5016,561.51,5,mb,,29,7.238,0.94,us,us6000gbrl,2022-02-24T21:00:25.040Z,"south of the Fiji Islands",earthquake,10.2,5.9,0.03,365,reviewed,us,us
2021-12-13T01:05:59.351Z,-16.9882,-174.1628,88.74,4.6,mb,,136,3.826,0.79,us,us6000gcu5,2022-02-24T21:01:56.040Z,"120 km SSW of Hihifo, Tonga",earthquake,14.2,6.7,0.122,20,reviewed,us,us
2021-12-13T10:30:22.694Z,-17.6734,-178.7403,526.29,4.4,mb,,98,3.057,0.99,us,us6000gbup,2022-02-24T21:00:30.040Z,"210 km ENE of Levuka, Fiji",earthquake,13.9,7.8,0.11,29,reviewed,us,us
2021-12-13T11:44:48.952Z,-21.8145,170.198,24.67,5.3,mww,,94,3.494,0.6,us,us6000gbv3,2022-02-24T21:00:31.040Z,"241 km E of Tadine, New Caledonia",earthquake,6.4,5,0.075,17,reviewed,us,us
2021-12-13T13:54:42.510Z,-25.5976,-178.9461,367.39,4,mb,,174,3.762,0.9,us,us6000gbvw,2022-02-24T21:00:33.040Z,"south of the Fiji Islands",earthquake,18.7,11.4,0.149,12,reviewed,us,us
2021-12-13T14:55:50.519Z,-17.6392,-178.5059,532.26,4.2,mb,,72,3.282,0.57,us,us6000gcun,2022-02-24T21:01:58.040Z,"235 km ENE of Levuka, Fiji",earthquake,13,8.8,0.095,33,reviewed,us,us
